"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"HK3",1372.15577118418,1.73795373774184,0.22100675531293,7.86380368908192,3.72641384626027e-15,1.06701993454426e-12
"DTX1",1797.18258626946,-2.86575590439511,0.365614373944822,-7.83819266588135,4.57077334677438e-15,1.28455659834533e-12
"CXCL6",377.358354077341,3.11403838623336,0.398270053172469,7.81891171939268,5.32819593212276e-15,1.47019457210718e-12
"CNTN1",278.497389178722,-2.1597285247297,0.28312025341166,-7.62830810831971,2.37854552339618e-14,6.44585836840364e-12
"P2RY2",151.800297316226,2.67848400162946,0.357473610844993,7.49281602996675,6.74113600204398e-14,1.79479789415824e-11
"SDS",193.615103512254,3.35139842349603,0.447426007545414,7.49039699744288,6.86655962462683e-14,1.79667084247132e-11
"HSD11B1",262.888769906093,2.3488774107861,0.313848457889114,7.48411327742126,7.20318071942101e-14,1.85280458640565e-11
"FAIM2",342.713568518576,-2.15828410904502,0.289149659541572,-7.46424572128788,8.37781314618737e-14,2.11902820510899e-11
"ATP1A2",420.401840832308,-2.7435955201788,0.368014137464963,-7.45513620503236,8.97750375326075e-14,2.23348519605713e-11
"TNFAIP6",927.97455402132,3.20567225616788,0.431076240264377,7.43643921131411,1.03435531677664e-13,2.53183488506489e-11
"TNFRSF12A",560.644677051748,2.28349458634949,0.307240195563721,7.43227813066502,1.06743053791114e-13,2.57132156243484e-11
"CD163",12761.5871685129,1.36926802643334,0.185072251905138,7.39855927800127,1.37669935101618e-13,3.26449833609711e-11
"EML6",797.970482493149,-2.32397709332317,0.31426721807407,-7.39490777168948,1.41506456058447e-13,3.30384919560461e-11
"C11orf86",124.579364302079,2.88235695007414,0.397078228813554,7.25891459394902,3.90208743202853e-13,8.97243619219166e-11
"HAS1",128.573031162265,2.84237403943005,0.39353554137329,7.22266159115196,5.09797692968616e-13,1.15472981917787e-10
"KCNK12",139.301706536508,-2.23861689687606,0.314807938738151,-7.11105604848828,1.15158357835606e-12,2.57006358604876e-10
"LILRA6",1592.11112208735,2.50170488433141,0.353785645721847,7.07124473415833,1.53550054855157e-12,3.37721106156793e-10
"CHI3L1",2913.72330427244,1.62002954641162,0.229378561319725,7.06268945576609,1.63310425849229e-12,3.54057003241129e-10
"MYEOV",114.134000949408,2.73914962041895,0.38813731398853,7.05716642461202,1.69932060856783e-12,3.63223796558104e-10
"S100A9",13065.1283308372,2.21247555572812,0.314755923074165,7.02917846348773,2.0775311608125e-12,4.37897401340146e-10
"PROK2",601.472307618418,3.87072864127155,0.551292362440428,7.02119039729998,2.19985829427546e-12,4.51149317215194e-10
"FPR1",2938.49109121372,2.74650646388193,0.391147831751923,7.02165841385474,2.19250036715209e-12,4.51149317215194e-10
"BCHE",209.954334520265,-2.14882954652415,0.312451741873225,-6.87731658540736,6.09904710604555e-12,1.2341218517513e-09
"VNN1",665.269466188848,1.83949453921299,0.268187061464308,6.85899807831632,6.93451718662408e-12,1.3847135897922e-09
"SIGLEC9",387.326581462385,1.73509565381159,0.253069401989844,6.85620482037267,7.07139717485343e-12,1.39370809773475e-09
"CXCL1",2484.80959379555,3.32674315109439,0.489107152836133,6.8016653034084,1.03416642418459e-11,2.01211662223401e-09
"FCGR3B",4012.90253560141,2.87386621378258,0.425413123299794,6.7554714614606,1.42371530890664e-11,2.7276299626676e-09
"ADH1C",3547.77463541998,-1.34537629251761,0.199195855966433,-6.75403755761021,1.43786503039937e-11,2.7276299626676e-09
"CALB2",219.49401539549,-1.81429933828949,0.269288255619639,-6.73738754077761,1.61259661790517e-11,3.02132916954677e-09
"NTRK2",306.802026015993,-2.08153119795219,0.309410257034807,-6.72741497938781,1.72703682024206e-11,3.1943926479428e-09
"SERPINF2",1442.53612044275,2.567543429973,0.381749038074493,6.72573647578382,1.74706503544578e-11,3.1943926479428e-09
"MPP1",2201.55849735865,1.6084015892393,0.242459693661695,6.63368646948594,3.27404900841254e-11,5.91511520853199e-09
"LGI4",532.705887538458,-1.85845498215102,0.280712807371194,-6.6204851839679,3.58021800643088e-11,6.39216334889353e-09
"L1CAM",742.263090367155,-1.39089507252685,0.211162807310062,-6.58683738033718,4.49293911765433e-11,7.92847023831653e-09
"DCBLD1",780.255591100709,1.58565824820865,0.240986975759585,6.5798503973532,4.70921855374423e-11,8.21460928409454e-09
"MAMDC2",175.589737107112,-2.43108665413381,0.369607598165197,-6.57748018764277,4.78487589577455e-11,8.2517359766221e-09
"FPR3",1004.96854701188,1.34752871972701,0.20496411997897,6.57446151972973,4.88295555725133e-11,8.32626219515125e-09
"CKAP4",3486.24261556622,1.22424728904526,0.186316226819444,6.57080335912801,5.00445140186372e-11,8.43861716385375e-09
